,title,price,year,link,brand,type,age
0,zizzo 20-inch folding bicycle trainer,75,,https://cnj.craigslist.org/bik/d/princeton-zizzo-20-inch-folding-bicycle/7899055550.html,zizzo,folding,
1,trek 800 antelope kids bike,100,,https://cnj.craigslist.org/bik/d/new-brunswick-trek-800-antelope-kids/7904581903.html,trek,kids,
2,balance bike for kids,50,,https://cnj.craigslist.org/bik/d/belle-mead-balance-bike-for-kids/7910881492.html,missing,kids,
3,bike tune ups cheapest around,50,,https://cnj.craigslist.org/bik/d/hightstown-bike-tune-ups-cheapest-around/7875870003.html,missing,missing,
4,"extremely rare 24 speed tern link folding bike, plus extras",1200,,https://cnj.craigslist.org/bik/d/princeton-extremely-rare-24-speed-tern/7893371821.html,missing,folding,
5,wahoo kickr core 2 with zwift cog and click,400,,https://cnj.craigslist.org/bik/d/monroe-township-wahoo-kickr-core-with/7912083432.html,missing,missing,
6,jetson electric bike,900,,https://cnj.craigslist.org/bik/d/gillette-jetson-electric-bike/7900841654.html,missing,electric,
7,razor sx500 mcgrath - 2022,300,2022.0,https://cnj.craigslist.org/bik/d/martinsville-razor-sx500-mcgrath/7895141165.html,missing,missing,4.0
8,union adult cruiser folding bike bicycle runs perfect,125,,https://cnj.craigslist.org/bik/d/plainfield-union-adult-cruiser-folding/7912064618.html,missing,cruiser,
9,panasonic ten speed,200,,https://cnj.craigslist.org/bik/d/freehold-panasonic-ten-speed/7906859892.html,missing,missing,
10,vintage 70's/80's widsor bicycle road bike,75,,https://cnj.craigslist.org/bik/d/clark-vintage-70s-80s-widsor-bicycle/7871548448.html,missing,road,
11,retro style schwinn riverside cruiser mens bike bicycle,150,,https://cnj.craigslist.org/bik/d/clark-retro-style-schwinn-riverside/7871542953.html,schwinn,cruiser,
12,schwinn ranger mountain bike bicycle black,60,,https://cnj.craigslist.org/bik/d/clark-schwinn-ranger-mountain-bike/7871542444.html,schwinn,mountain,
13,vintage 1980s miyata sport 10 speed  bicycle / bike,75,1980.0,https://cnj.craigslist.org/bik/d/clark-vintage-1980s-miyata-sport-10/7871534550.html,missing,missing,46.0
14,womans bicycle,50,,https://cnj.craigslist.org/bik/d/iselin-womans-bicycle/7903878491.html,missing,missing,
15,bmx bike,200,,https://cnj.craigslist.org/bik/d/dunellen-bmx-bike/7884575199.html,missing,bmx,
16,monaco 16” boys bmx bicycle 🚲,50,,https://cnj.craigslist.org/bik/d/trenton-monaco-16-boys-bmx-bicycle/7874050039.html,missing,bmx,
17,2 vintage racing bikes  ross and schwinn,100,,https://cnj.craigslist.org/bik/d/hampton-vintage-racing-bikes-ross-and/7876132379.html,schwinn,missing,
18,3g men's isla vista 1 speed beach cruiser + extras,120,,https://cnj.craigslist.org/bik/d/highland-park-3g-mens-isla-vista-speed/7910469245.html,missing,cruiser,
19,huffy tulsa 26” mountain bicycle 🚲,50,,https://cnj.craigslist.org/bik/d/pennington-huffy-tulsa-26-mountain/7874269771.html,missing,mountain,
20,schwinn rocket full suspension mountain bike,450,,https://cnj.craigslist.org/bik/d/freehold-schwinn-rocket-full-suspension/7899858807.html,schwinn,mountain,
21,ironhorse maverick,200,,https://cnj.craigslist.org/bik/d/freehold-ironhorse-maverick/7899858769.html,missing,missing,
22,haro f3,200,,https://cnj.craigslist.org/bik/d/freehold-haro-f3/7899858260.html,missing,missing,
23,"sears roebuck 70's free spirit greenbrier womens 27"" 10 speed bike",50,,https://cnj.craigslist.org/bik/d/trenton-sears-roebuck-70s-free-spirit/7876965858.html,missing,missing,
24,girls 20 inch  bike + roller blades,30,,https://cnj.craigslist.org/bik/d/delanco-girls-20-inch-bike-roller-blades/7892173483.html,missing,missing,
25,trex multitrack 700 bicycle.  ( let's make a deal ),235,,https://cnj.craigslist.org/bik/d/hazlet-trex-multitrack-700-bicycle-lets/7900779869.html,missing,missing,
26,trex multitrack 700 bicycle.  ( let's make a deal ),235,,https://cnj.craigslist.org/bik/d/hazlet-trex-multitrack-700-bicycle-lets/7880428687.html,missing,missing,
27,giant tcr2-boys and girls club bike exchange,400,,https://cnj.craigslist.org/bik/d/trenton-giant-tcr2-boys-and-girls-club/7902885278.html,giant,missing,
28,giant fcr3 -boys and girls club bike exchange,250,,https://cnj.craigslist.org/bik/d/trenton-giant-fcr3-boys-and-girls-club/7876822193.html,giant,missing,
29,pinarello stelvio -boys and girls club bike exchange,800,,https://cnj.craigslist.org/bik/d/trenton-pinarello-stelvio-boys-and/7900227150.html,pinarello,missing,
30,santana sovereign tandem -boys and girls club bike exchange,300,,https://cnj.craigslist.org/bik/d/trenton-santana-sovereign-tandem-boys/7879116900.html,missing,missing,
31,giant sedona dx -boys and girls club bike exchange,250,,https://cnj.craigslist.org/bik/d/trenton-giant-sedona-dx-boys-and-girls/7889094413.html,giant,missing,
32,trek 1220 -boys and girls club bike exchange,250,,https://cnj.craigslist.org/bik/d/trenton-trek-boys-and-girls-club-bike/7895153698.html,trek,missing,
33,seven odonata titanium road bike-boys and girls club bike exchange,1400,,https://cnj.craigslist.org/bik/d/trenton-seven-odonata-titanium-road/7903396206.html,missing,road,
34,cannondale r500-boys and girls club bike exchange,400,,https://cnj.craigslist.org/bik/d/trenton-cannondale-r500-boys-and-girls/7895155445.html,cannondale,missing,
35,fuji finest 1.0-boys and girls club bike exchange,250,,https://cnj.craigslist.org/bik/d/trenton-fuji-finest-10-boys-and-girls/7902883327.html,fuji,missing,
36,cannondale r500 road -boys and girls club bike exchange,400,,https://cnj.craigslist.org/bik/d/trenton-cannondale-r500-road-boys-and/7884209981.html,cannondale,road,
37,"aventon level 3 commuter ebike, like new. 30% below amazon $",1350,,https://cnj.craigslist.org/bik/d/hopewell-aventon-level-commuter-ebike/7911840070.html,missing,commuter,
38,"ebike bags, new",11,,https://cnj.craigslist.org/bik/d/new-brunswick-ebike-bags-new/7891133368.html,missing,missing,
39,"tricycle schwinn town, add motors",195,,https://cnj.craigslist.org/bik/d/new-brunswick-tricycle-schwinn-town-add/7896648595.html,schwinn,tricycle,
